iter	Passed	Remaining
0	98	98101
1	100	50212
2	103	34243
3	104	26138
4	106	21225
5	108	17915
6	109	15566
7	111	13886
8	113	12499
9	114	11364
10	116	10450
11	117	9687
12	118	9031
13	120	8455
14	121	7969
15	122	7534
16	123	7144
17	124	6789
18	125	6500
19	126	6221
20	127	5957
21	128	5719
22	129	5501
23	130	5299
24	131	5113
25	131	4940
26	132	4778
27	133	4624
28	134	4501
29	135	4372
30	135	4248
31	136	4131
32	137	4021
33	137	3918
34	138	3819
35	139	3727
36	140	3645
37	141	3571
38	141	3493
39	142	3420
40	143	3347
41	143	3283
42	144	3219
43	145	3155
44	145	3095
45	146	3036
46	146	2980
47	147	2927
48	148	2877
49	148	2828
50	149	2780
51	150	2735
52	150	2691
53	151	2649
54	151	2607
55	152	2568
56	153	2531
57	153	2495
58	154	2460
59	155	2429
60	155	2398
61	156	2367
62	157	2336
63	157	2306
64	158	2277
65	158	2248
66	159	2221
67	160	2194
68	160	2168
69	161	2142
70	162	2120
71	162	2097
72	163	2073
73	163	2050
74	164	2028
75	165	2007
76	165	1986
77	166	1965
78	166	1945
79	167	1926
80	168	1907
81	168	1888
82	169	1867
83	169	1849
84	170	1834
85	171	1818
86	171	1802
87	172	1786
88	172	1770
89	173	1754
90	174	1738
91	174	1723
92	175	1708
93	175	1693
94	176	1679
95	176	1665
96	177	1651
97	178	1638
98	178	1625
99	179	1612
100	179	1599
101	180	1587
102	180	1576
103	181	1564
104	182	1552
105	182	1541
106	183	1531
107	184	1521
108	184	1511
109	185	1502
110	186	1494
111	187	1486
112	188	1476
113	188	1467
114	189	1458
115	190	1450
116	190	1440
117	191	1431
118	192	1423
119	192	1413
120	193	1404
121	193	1395
122	194	1386
123	195	1378
124	195	1369
125	196	1361
126	196	1352
127	197	1345
128	198	1337
129	198	1329
130	199	1322
131	200	1316
132	200	1310
133	201	1303
134	202	1296
135	202	1289
136	203	1282
137	204	1274
138	204	1267
139	205	1261
140	205	1254
141	206	1246
142	206	1240
143	207	1233
144	208	1227
145	208	1220
146	209	1215
147	210	1209
148	210	1203
149	211	1197
150	211	1191
151	212	1185
152	213	1180
153	213	1174
154	214	1168
155	215	1163
156	215	1158
157	216	1154
158	217	1148
159	217	1143
160	218	1138
161	219	1135
162	220	1130
163	220	1125
164	221	1119
165	221	1115
166	222	1110
167	223	1105
168	223	1100
169	224	1095
170	225	1091
171	225	1086
172	226	1082
173	226	1077
174	227	1074
175	228	1070
176	229	1067
177	230	1063
178	230	1058
179	231	1055
180	232	1051
181	233	1047
182	233	1043
183	234	1039
184	235	1035
185	235	1031
186	236	1026
187	236	1022
188	237	1018
189	237	1014
190	238	1010
191	239	1006
192	239	1002
193	240	998
194	240	994
195	241	990
196	242	986
197	242	982
198	243	979
199	243	975
200	244	972
201	245	968
202	245	964
203	246	961
204	247	958
205	247	955
206	248	952
207	249	948
208	249	944
209	250	941
210	250	937
211	251	934
212	251	930
213	252	927
214	253	924
215	253	920
216	254	917
217	254	914
218	255	910
219	255	907
220	256	904
221	257	900
222	257	897
223	258	894
224	258	891
225	259	888
226	259	885
227	260	881
228	261	878
229	261	876
230	262	873
231	263	871
232	263	868
233	264	865
234	264	862
235	265	859
236	265	856
237	266	853
238	266	850
239	267	847
240	268	844
241	268	841
242	269	838
243	269	836
244	270	833
245	271	830
246	271	828
247	272	825
248	272	822
249	273	820
250	273	817
251	274	814
252	275	812
253	275	809
254	276	806
255	276	804
256	277	802
257	278	800
258	278	798
259	279	795
260	280	793
261	280	791
262	281	788
263	282	786
264	282	783
265	283	781
266	283	779
267	284	776
268	284	774
269	285	772
270	286	769
271	286	767
272	287	765
273	287	762
274	288	760
275	289	758
276	289	756
277	290	754
278	291	753
279	292	751
280	292	749
281	293	747
282	294	745
283	294	742
284	295	740
285	295	738
286	296	736
287	297	734
288	297	732
289	298	730
290	298	728
291	299	726
292	300	724
293	300	722
294	301	720
295	302	718
296	302	716
297	303	714
298	303	712
299	304	710
300	305	708
301	305	706
302	306	704
303	306	702
304	307	701
305	308	699
306	308	697
307	309	695
308	310	693
309	310	691
310	311	689
311	311	687
312	312	685
313	313	683
314	313	682
315	314	680
316	314	678
317	315	676
318	316	674
319	316	672
320	317	671
321	317	669
322	318	667
323	319	665
324	319	664
325	320	662
326	321	660
327	321	659
328	322	657
329	323	656
330	324	654
331	324	653
332	325	651
333	325	649
334	326	648
335	327	646
336	327	644
337	328	643
338	328	641
339	329	639
340	330	638
341	330	636
342	331	634
343	331	633
344	332	631
345	333	630
346	334	628
347	334	627
348	335	625
349	336	624
350	336	622
351	337	621
352	338	619
353	338	618
354	339	617
355	340	615
356	340	613
357	341	612
358	342	611
359	342	609
360	343	607
361	344	606
362	344	604
363	345	603
364	345	601
365	346	600
366	347	599
367	347	597
368	348	596
369	349	594
370	349	592
371	350	591
372	350	589
373	351	588
374	352	587
375	352	585
376	353	584
377	354	583
378	355	582
379	356	580
380	356	579
381	357	577
382	357	576
383	358	574
384	358	573
385	359	571
386	360	570
387	360	568
388	361	567
389	362	566
390	362	564
391	363	563
392	363	562
393	364	560
394	365	559
395	365	557
396	366	556
397	367	555
398	368	554
399	368	553
400	369	551
401	370	550
402	370	549
403	371	548
404	372	546
405	372	545
406	373	544
407	374	542
408	374	541
409	375	540
410	376	539
411	377	538
412	378	537
413	378	536
414	379	535
415	380	533
416	380	532
417	381	531
418	382	529
419	382	528
420	383	527
421	384	526
422	384	525
423	385	524
424	386	523
425	387	521
426	387	520
427	388	519
428	389	518
429	390	517
430	391	516
431	391	515
432	392	514
433	393	513
434	394	511
435	394	510
436	395	509
437	396	508
438	396	507
439	397	506
440	398	504
441	399	503
442	399	502
443	400	501
444	400	499
445	401	498
446	402	497
447	403	496
448	403	495
449	404	494
450	405	493
451	405	491
452	406	490
453	407	489
454	407	488
455	408	487
456	409	486
457	409	484
458	410	483
459	410	482
460	411	481
461	412	479
462	412	478
463	413	477
464	414	476
465	415	475
466	415	474
467	416	473
468	417	472
469	417	471
470	418	469
471	418	468
472	419	467
473	420	466
474	420	464
475	421	463
476	422	462
477	422	461
478	423	460
479	423	459
480	424	458
481	425	457
482	425	455
483	426	454
484	427	453
485	427	452
486	428	451
487	429	450
488	430	449
489	431	448
490	431	447
491	432	446
492	433	445
493	433	444
494	434	443
495	434	441
496	435	440
497	436	439
498	436	438
499	437	437
500	438	436
501	438	435
502	439	434
503	439	432
504	440	431
505	441	430
506	441	429
507	442	428
508	443	427
509	444	426
510	444	425
511	445	424
512	446	423
513	447	422
514	447	421
515	448	420
516	449	419
517	450	418
518	450	417
519	451	416
520	451	415
521	452	414
522	453	413
523	454	412
524	454	411
525	455	410
526	455	409
527	456	408
528	457	407
529	457	405
530	458	404
531	459	403
532	460	403
533	461	402
534	462	401
535	462	400
536	463	399
537	464	398
538	464	397
539	465	396
540	466	395
541	466	394
542	467	393
543	468	392
544	468	391
545	469	390
546	470	389
547	470	388
548	471	387
549	472	386
550	472	385
551	473	384
552	474	383
553	475	382
554	476	381
555	477	381
556	477	380
557	478	379
558	479	378
559	480	377
560	480	376
561	481	375
562	482	374
563	483	373
564	483	372
565	484	371
566	485	370
567	485	369
568	486	368
569	486	367
570	487	366
571	488	365
572	489	365
573	490	364
574	491	363
575	492	362
576	493	361
577	494	360
578	494	359
579	495	358
580	496	357
581	496	356
582	497	355
583	498	354
584	498	353
585	499	352
586	499	351
587	500	350
588	501	349
589	501	348
590	502	347
591	503	346
592	503	345
593	504	345
594	505	344
595	506	343
596	507	342
597	507	341
598	508	340
599	509	339
600	509	338
601	510	337
602	511	336
603	511	335
604	512	334
605	513	333
606	514	332
607	514	331
608	515	331
609	516	330
610	517	329
611	517	328
612	518	327
613	519	326
614	521	326
615	521	325
616	522	324
617	523	323
618	523	322
619	524	321
620	525	320
621	525	319
622	526	318
623	527	317
624	528	316
625	528	315
626	529	314
627	530	314
628	530	313
629	531	312
630	532	311
631	532	310
632	533	309
633	534	308
634	534	307
635	535	306
636	536	305
637	537	304
638	537	303
639	538	302
640	539	302
641	540	301
642	541	300
643	541	299
644	542	298
645	543	297
646	544	296
647	544	295
648	545	295
649	546	294
650	546	293
651	547	292
652	547	291
653	548	290
654	549	289
655	549	288
656	550	287
657	551	286
658	552	285
659	553	285
660	554	284
661	555	283
662	555	282
663	556	281
664	557	280
665	557	279
666	558	278
667	558	277
668	559	276
669	560	275
670	560	274
671	561	273
672	561	273
673	562	272
674	563	271
675	564	270
676	564	269
677	565	268
678	566	267
679	567	267
680	568	266
681	568	265
682	569	264
683	570	263
684	574	264
685	575	263
686	576	262
687	577	261
688	578	261
689	579	260
690	582	260
691	584	260
692	585	259
693	586	258
694	587	257
695	588	257
696	589	256
697	591	255
698	592	255
699	593	254
700	594	253
701	597	253
702	599	253
703	600	252
704	601	251
705	603	251
706	603	250
707	604	249
708	605	248
709	605	247
